pool_name,source_name,candidate_id,asset_id,stratum,selection_query,license_bucket,download_status,local_status,notes
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,hard sunlight,hard sunlight,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_02,,hard sunlight,hard sunlight,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_03,,hard sunlight,hard sunlight,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_04,,hard sunlight,hard sunlight,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,overcast diffuse,overcast diffuse,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_02,,overcast diffuse,overcast diffuse,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_03,,overcast diffuse,overcast diffuse,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_04,,overcast diffuse,overcast diffuse,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,window-side indoor,window-side indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_02,,window-side indoor,window-side indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_03,,window-side indoor,window-side indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_04,,window-side indoor,window-side indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,warm sunset,warm sunset,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_02,,warm sunset,warm sunset,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_03,,warm sunset,warm sunset,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,high-contrast indoor,high-contrast indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_02,,high-contrast indoor,high-contrast indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_03,,high-contrast indoor,high-contrast indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,urban night / neon,urban night / neon,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_02,,urban night / neon,urban night / neon,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_hard_sunlight_01,,hard sunlight,hard sunlight,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_hard_sunlight_02,,hard sunlight,hard sunlight,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_overcast_diffuse_01,,overcast diffuse,overcast diffuse,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_overcast_diffuse_02,,overcast diffuse,overcast diffuse,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_window_side_indoor_01,,window-side indoor,window-side indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_window_side_indoor_02,,window-side indoor,window-side indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_window_side_indoor_03,,window-side indoor,window-side indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_window_side_indoor_04,,window-side indoor,window-side indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_window_side_indoor_05,,window-side indoor,window-side indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_window_side_indoor_06,,window-side indoor,window-side indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_warm_sunset_01,,warm sunset,warm sunset,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_warm_sunset_02,,warm sunset,warm sunset,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_high_contrast_indoor_01,,high-contrast indoor,high-contrast indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_high_contrast_indoor_02,,high-contrast indoor,high-contrast indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_high_contrast_indoor_03,,high-contrast indoor,high-contrast indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_high_contrast_indoor_04,,high-contrast indoor,high-contrast indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_high_contrast_indoor_05,,high-contrast indoor,high-contrast indoor,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_urban_night_neon_01,,urban night / neon,urban night / neon,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_urban_night_neon_02,,urban night / neon,urban night / neon,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
pool_D_natural_light_hdri_bank,Laval_HDR,laval_urban_night_neon_03,,urban night / neon,urban night / neon,custom_research_project_terms,pilot_slot_pending_manual_selection,not_downloaded,manual scene selection required from indoor HDR db before download
